baseline,horizon_frames,schedule_id,M0,M1,M2,M3,M4,macro_M0-M4,n_observed
nearest_anchor,66,s1,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,67
nearest_anchor,66,s2,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,34
nearest_anchor,66,s4,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,18
nearest_anchor,66,s8,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,10
nearest_anchor,66,s16,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,6
nearest_anchor,66,s32,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,4
nearest_anchor,66,s64,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,3
nearest_anchor,66,ends,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,2
nearest_anchor,66,rand1,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,3
nearest_anchor,66,rand3,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,5
nearest_anchor,132,s1,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,133
nearest_anchor,132,s2,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,67
nearest_anchor,132,s4,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,34
nearest_anchor,132,s8,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,18
nearest_anchor,132,s16,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,10
nearest_anchor,132,s32,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,6
nearest_anchor,132,s64,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,4
nearest_anchor,132,s128,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,3
nearest_anchor,132,ends,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,2
